data	cotacao
16-06-2016	1.123
15-06-2016	1.126
14-06-2016	1.121
13-06-2016	1.129
10-06-2016	1.125
09-06-2016	1.132
08-06-2016	1.139
07-06-2016	1.136
06-06-2016	1.136
03-06-2016	1.137
02-06-2016	1.115
01-06-2016	1.119
31-05-2016	1.113
30-05-2016	1.115
27-05-2016	1.112
26-05-2016	1.119
25-05-2016	1.116
24-05-2016	1.114
23-05-2016	1.122
20-05-2016	1.122
19-05-2016	1.120
18-05-2016	1.122
17-05-2016	1.131
16-05-2016	1.132
13-05-2016	1.131
12-05-2016	1.138
11-05-2016	1.143
10-05-2016	1.137
09-05-2016	1.138
06-05-2016	1.141
05-05-2016	1.141
04-05-2016	1.149
03-05-2016	1.150
02-05-2016	1.153
29-04-2016	1.146
28-04-2016	1.135
27-04-2016	1.132
26-04-2016	1.130
25-04-2016	1.127
22-04-2016	1.123
21-04-2016	1.129
20-04-2016	1.130
19-04-2016	1.136
18-04-2016	1.131
15-04-2016	1.128
14-04-2016	1.127
13-04-2016	1.127
12-04-2016	1.139
11-04-2016	1.141
08-04-2016	1.140
07-04-2016	1.138
06-04-2016	1.140
05-04-2016	1.138
04-04-2016	1.139
01-04-2016	1.139
31-03-2016	1.138
30-03-2016	1.134
29-03-2016	1.129
28-03-2016	1.120
25-03-2016	1.117
24-03-2016	1.117
23-03-2016	1.118
22-03-2016	1.122
21-03-2016	1.124
18-03-2016	1.127
17-03-2016	1.132
16-03-2016	1.123
15-03-2016	1.111
14-03-2016	1.111
11-03-2016	1.115
10-03-2016	1.118
09-03-2016	1.100
08-03-2016	1.101
07-03-2016	1.101
04-03-2016	1.100
03-03-2016	1.096
02-03-2016	1.087
01-03-2016	1.087
29-02-2016	1.087
26-02-2016	1.093
25-02-2016	1.102
24-02-2016	1.101
23-02-2016	1.102
22-02-2016	1.103
19-02-2016	1.113
18-02-2016	1.111
17-02-2016	1.113
16-02-2016	1.114
15-02-2016	1.116
12-02-2016	1.126
11-02-2016	1.132
10-02-2016	1.129
09-02-2016	1.129
08-02-2016	1.120
05-02-2016	1.116
04-02-2016	1.121
03-02-2016	1.110
02-02-2016	1.092
01-02-2016	1.089
29-01-2016	1.084
28-01-2016	1.094
27-01-2016	1.089
26-01-2016	1.087
25-01-2016	1.085
22-01-2016	1.080
21-01-2016	1.087
20-01-2016	1.089
19-01-2016	1.091
18-01-2016	1.089
15-01-2016	1.092
14-01-2016	1.087
13-01-2016	1.088
12-01-2016	1.086
11-01-2016	1.086
08-01-2016	1.093
07-01-2016	1.094
06-01-2016	1.078
05-01-2016	1.075
04-01-2016	1.083
01-01-2016	1.086
31-12-2015	1.086
30-12-2015	1.093
29-12-2015	1.092
28-12-2015	1.097
25-12-2015	1.098
24-12-2015	1.097
23-12-2015	1.091
22-12-2015	1.096
21-12-2015	1.092
18-12-2015	1.087
17-12-2015	1.083
16-12-2015	1.091
15-12-2015	1.093
14-12-2015	1.099
11-12-2015	1.099
10-12-2015	1.094
09-12-2015	1.103
08-12-2015	1.089
07-12-2015	1.084
04-12-2015	1.089
03-12-2015	1.094
02-12-2015	1.062
01-12-2015	1.063
30-11-2015	1.056
27-11-2015	1.059
26-11-2015	1.061
25-11-2015	1.063
